"HIGHRISK","ID","NAME"
"false","30-0008538","Erntogra"
"false","60-0004939","Felics Limited"
"false","31-0001033","Terson Consulting"
"false","27-0007300","Porta LLC"
"false","92-0004357","Linger Industries"
"false","35-0000891","Morsem Associates"
"false","52-0006070","Woods Associates"
"false","58-0003997","Woods"
"false","06-0001450","Buapel"
"false","56-0009102","Yrsa Limited"
"false","95-0003921","Woods Ltd"
"false","35-0009065","Quicker"
"false","30-0006921","QuickLink Industries"
"false","25-0001619","FlyHigh"
"false","63-0002382","Interdem Associates"
"false","93-0009827","Porta Company"
"false","62-0003643","Hostes Ltd"
"false","64-0005613","QuickLink LLC"
"false","48-0003111","Warst Inc."
"false","91-0002752","Beans Industries"
"true","12-0004478","Linger"
"false","56-0006058","Quisuc Associates"
"false","39-0005874","Terson Industries"
"false","26-0002430","Quisuc Industries"
